소재지지번주소,위도,경도
충청남도 아산시 둔포면 송용리183-13,36.90949414,127.0271469
충청남도 아산시 둔포면 석곡리1446,36.921742,127.059633
충청남도 아산시 둔포면 석곡리1796,36.925407,127.054757
충청남도 아산시 둔포면 석곡리1804,36.921875,127.054604
충청남도 아산시 배방읍 갈매리457,,127.095577
충청남도 아산시 배방읍 휴대리8,36.77431036,127.1187047
충청남도 아산시 배방읍 휴대리 95-2,36.776717,127.116154
충청남도 아산시 신창면 가내리66,36.7987307,126.9011578
충청남도 아산시 염치읍 곡교리203-17,36.80732185,126.9812855
충청남도 아산시 염치읍 송곡리 73-8,36.8017239,127.0173712
충청남도 아산시 염치읍 송곡리112-94,36.8018864,127.0151106
충청남도 아산시 염치읍 송곡리112-373,36.800241,127.013765
충청남도 아산시 영인면 월선리170-5,36.878884,126.931138
충청남도 아산시 온천동 834,36.77839306,126.9996583
충청남도 아산시 온천동 169-6,36.77829393,126.9982021
충청남도 아산시 권곡동 170-6,36.78743027,127.0152534
충청남도 아산시 모종동 587-6,36.780341,127.016238
충청남도 아산시 모종동 554-3,36.78664627,127.0154997
충청남도 아산시 모종동 554-9,36.78653147,127.0147631
충청남도 아산시 모종동 585-17,36.78091495,127.0171397
충청남도 아산시 신동 632-26,36.78106034,127.0328344
충청남도 아산시 권곡동 443-54,36.7885079,127.0065709
충청남도 아산시 모종동 338-3,,127.021609
충청남도 아산시 권곡동 862,36.789588,127.020027
충청남도 아산시 방축동 119-1,36.78295706,126.9939673
충청남도 아산시 방축동 134-34,36.785907,126.990178
충청남도 아산시 실옥동 183-153,,126.994707
충청남도 아산시 실옥동 185-17,36.78672802,126.9907741
충청남도 아산시 용화동 41,36.77593521,127.0035761
충청남도 아산시 용화동 42-51,36.77479302,127.0044554
충청남도 아산시 용화동 16-60,36.778924,127.010448
충청남도 아산시 용화동 16-64,36.77807705,127.0122018
충청남도 아산시 용화동 653,36.77376128,126.9968048
충청남도 아산시 풍기동 215-23,36.778802,127.013728
충청남도 아산시 좌부동 178,36.757519,127.023315
충청남도 아산시 음봉면 소동리 7-21,36.86949756,127.0564524
충청남도 아산시 음봉면 동암리715,36.843545,127.067795
충청남도 아산시 음봉면 신수리433,36.841028,127.005776
충청남도 아산시 음봉면 월랑리703,36.844128,127.073935
충청남도 아산시 음봉면 덕지리 33-3,36.836216,127.084217
충청남도 아산시 인주면 걸매리997,36.880752,126.867201
충청남도 아산시 인주면 걸매리1048,36.87313032,126.8789443
충청남도 아산시 탕정면 매곡리810,36.792004,127.078751
충청남도 아산시 탕정면 매곡리802-2,36.79300813,127.0783368
충청남도 아산시 탕정면 명암리88,36.819622,127.070323
충청남도 아산시 탕정면 명암리823,36.797307,127.063218
충청남도 아산시 도고면 기곡리278-21,36.762097,126.882151
충청남도 아산시 도고면 시전리159,36.74437311,126.9011967
충청남도 아산시 도고면 신언리586,36.754514,126.864262
충청남도 아산시 도고면 신언리 61-6,36.756992,126.875066
충청남도 아산시 도고면 시전리197-7,36.745906,
충청남도 아산시 둔포면 둔포리411-2,36.92827443,127.0381867
충청남도 아산시 둔포면 둔포리400-1,36.927505,127.039074
충청남도 아산시 둔포면 둔포리321,36.92622928,127.0437386
충청남도 아산시 둔포면 둔포리235,36.92873929,127.0424576
충청남도 아산시 둔포면 석곡리1741,36.927637,127.057085
충청남도 아산시 둔포면 석곡리1820,,127.049122
충청남도 아산시 둔포면 산전리324-4,36.89756998,127.0369681
충청남도 아산시 둔포면 산전리322,36.89832712,127.036256
충청남도 아산시 둔포면 신남리233-5,36.91993868,127.0008417
충청남도 아산시 배방읍 북수리1529,36.77040623,127.0625654
충청남도 아산시 배방읍 북수리1409,36.77503873,127.0730902
충청남도 아산시 배방읍 북수리1315,36.77318348,127.0713691
충청남도 아산시 배방읍 북수리687-14,36.7720325,127.0710319
충청남도 아산시 배방읍 북수리677-2,36.771728,
충청남도 아산시 배방읍 북수리169-4,,127.069096
충청남도 아산시 배방읍 장재리1441,36.78839801,127.0921965
충청남도 아산시 배방읍 공수리746,36.77207437,127.0453086
충청남도 아산시 배방읍 북수리255-5,36.769771,127.070131
충청남도 아산시 배방읍 장재리1601,36.785287,127.098923
충청남도 아산시 배방읍 공수리141-8,36.77459481,127.0568112
충청남도 아산시 배방읍 공수리176-35,36.76936862,127.0512154
충청남도 아산시 배방읍 공수리448-3,36.76210095,127.0565164
충청남도 아산시 배방읍 신흥리205-6,36.75155366,127.0388968
충청남도 아산시 배방읍 신흥리203-2,36.75296244,127.0364451
충청남도 아산시 배방읍 휴대리156,36.78028543,127.113551
충청남도 아산시 배방읍 장재리2052,36.79273902,127.0923333
충청남도 아산시 배방읍 북수리927,36.77135124,127.0647504
충청남도 아산시 배방읍 북수리299-2,36.767498,127.078482
충청남도 아산시 배방읍 북수리산1-5,36.768814,127.076511
충청남도 아산시 배방읍 장재리1431,36.786325,
